Date,Price,Log return
2010-01-04,1132.99,
2010-01-05,1136.52,0.0031108061622855104
2010-01-06,1137.14,0.0005453761911345774
2010-01-07,1141.69,0.0039932825584234055
2010-01-08,1144.98,0.0028775488113092444
2010-01-11,1146.98,0.0017452315988401989
2010-01-12,1136.22,-0.009425437682848987
2010-01-13,1145.68,0.008291383667578442
2010-01-14,1148.46,0.0024235673156261114
2010-01-15,1136.03,-0.010882186102969552
2010-01-19,1150.23,0.01242219397685807
2010-01-20,1138.04,-0.010654437906525255
2010-01-21,1116.48,-0.019126605455027455
2010-01-22,1091.76,-0.022389806068551035
2010-01-25,1096.78,0.004587541286927027
2010-01-26,1092.17,-0.004212071372766148
2010-01-27,1097.5,0.004868323105307144
2010-01-28,1084.53,-0.011888152547708633
2010-01-29,1073.87,-0.009877767489622453
2010-02-01,1089.19,0.014165354795150988
2010-02-02,1103.32,0.01288951533068827
2010-02-03,1097.28,-0.005489425763279087
2010-02-04,1063.11,-0.031635815571409806
2010-02-05,1066.19,0.0028929715381732983
2010-02-08,1056.74,-0.008902848815299853
2010-02-09,1070.52,0.012955814287673312
2010-02-10,1068.13,-0.0022350557547347752
2010-02-11,1078.47,0.009633914071687014
2010-02-12,1075.51,-0.0027484023651562135
2010-02-16,1094.87,0.01784066707597497
2010-02-17,1099.51,0.004228991255194203
2010-02-18,1106.75,0.006563166615592701
2010-02-19,1109.17,0.002184195243594415
2010-02-22,1108.01,-0.0010463743185851612
2010-02-23,1094.6,-0.012176613827442041
2010-02-24,1105.24,0.00967350622884524
2010-02-25,1102.94,-0.0020831642635576906
2010-02-26,1104.49,0.00140434827355034
2010-03-01,1115.71,0.010107283593191702
2010-03-02,1118.31,0.0023276435966405676
2010-03-03,1118.79,0.00042912700135530314
2010-03-04,1122.97,0.003729217083266287
2010-03-05,1138.7,0.0139102995934497
2010-03-08,1138.5,-0.00017565431276499765
2010-03-09,1140.45,0.0017113148387610981
2010-03-10,1145.61,0.004514324876007007
2010-03-11,1150.24,0.004033370016998894
2010-03-12,1149.99,-0.00021736956824699424
2010-03-15,1150.51,0.00045207564343076404
2010-03-16,1159.46,0.007749057161496351
2010-03-17,1166.21,0.005804795137565081
2010-03-18,1165.83,-0.0003258949274998341
2010-03-19,1159.9,-0.005099485194476214
2010-03-22,1165.81,0.0050823298874814495
2010-03-23,1174.17,0.0071453906182156945
2010-03-24,1167.72,-0.005508385371629812
2010-03-25,1165.73,-0.0017056294177613758
2010-03-26,1166.59,0.0007374631602661291
2010-03-29,1173.22,0.005667141985337086
2010-03-30,1173.27,4.2616844740564804e-05
2010-03-31,1169.43,-0.0032782716003415245
2010-04-01,1178.1,0.00738652065793466
2010-04-05,1187.44,0.007896758064435913
2010-04-06,1189.44,0.0016828787923777017
2010-04-07,1182.45,-0.00589405093486044
2010-04-08,1186.44,0.0033686695230149477
2010-04-09,1194.37,0.006661622998832402
2010-04-12,1196.48,0.001765063092874738
2010-04-13,1197.3,0.0006851089340489951
2010-04-14,1210.65,0.01108838371569334
2010-04-15,1211.67,0.000842167888871758
2010-04-16,1192.13,-0.016257950246036473
2010-04-19,1197.52,0.004511128525653854
2010-04-20,1207.17,0.008026025643238168
2010-04-21,1205.94,-0.0010194314445029012
2010-04-22,1208.67,0.0022612356970690673
2010-04-23,1217.28,0.007098279974131413
2010-04-26,1212.05,-0.00430572057317188
2010-04-27,1183.71,-0.023659566893072765
2010-04-28,1191.36,0.006441937673680552
2010-04-29,1206.78,0.01286014370883258
2010-04-30,1186.69,-0.016787736487182545
2010-05-03,1202.26,0.013035199954753045
2010-05-04,1173.6,-0.024127171031983346
2010-05-05,1165.87,-0.006608358415364349
2010-05-06,1128.15,-0.032888466472885715
2010-05-07,1110.88,-0.015426628935558498
2010-05-10,1159.73,0.04303472538226554
2010-05-11,1155.79,-0.00340312655689989
2010-05-12,1171.67,0.01364598869249329
2010-05-13,1157.44,-0.012219411759088954
2010-05-14,1135.68,-0.018979079305601415
2010-05-17,1136.94,0.0011088524514465206
2010-05-18,1120.8,-0.014297726886780986
2010-05-19,1115.05,-0.005143469084670231
2010-05-20,1071.59,-0.03975572015145415
2010-05-21,1087.69,0.014912654559367987
2010-05-24,1073.65,-0.012992122932899614
2010-05-25,1074.03,0.0003538702264447118
2010-05-26,1067.95,-0.0056770056947721146
2010-05-27,1103.06,0.0323472129280415
2010-05-28,1089.41,-0.012451870600623242
2010-06-01,1070.71,-0.017314285467303576
2010-06-02,1098.38,0.02551438718007349
2010-06-03,1102.83,0.004043236276677301
2010-06-04,1064.88,-0.03501748652291547
2010-06-07,1050.47,-0.013624433691096281
2010-06-08,1062.0,0.010916239754216572
2010-06-09,1055.69,-0.0059593412390872465
2010-06-10,1086.84,0.0290798216120606
2010-06-11,1091.6,0.004370106659325958
2010-06-14,1089.63,-0.0018063207783149315
2010-06-15,1115.23,0.02322247259286971
2010-06-16,1114.61,-0.0005560937250901566
2010-06-17,1116.04,0.0012821376691954428
2010-06-18,1117.51,0.0013162904007037828
2010-06-21,1113.2,-0.003864245341811379
2010-06-22,1095.31,-0.01620132244496867
2010-06-23,1092.04,-0.0029899215361501785
2010-06-24,1073.69,-0.016946192862424502
2010-06-25,1076.76,0.002855218289774183
2010-06-28,1074.57,-0.002035950557543315
2010-06-29,1041.24,-0.031508270947024665
2010-06-30,1030.71,-0.010164425453543183
2010-07-01,1027.37,-0.0032457464551476313
2010-07-02,1022.58,-0.004673293219507561
2010-07-06,1028.06,0.005344685605450304
2010-07-07,1060.27,0.030850061581731633
